"","c(unique(QHI_only_KO$Species))"
"1","Cetraria cucculata"
"2","Dryas integrifolia"
"3","Senecio astropurpureus"
"4","Stellaria longipes"
"5","Salix arctica"
"6","Poa arctica"
"7","Oxytropis maydalliana"
"8","Salix reticulata"
"9","Pedicularis lanata"
"10","Oxytropis campestris"
"11","Lupinus arcticus"
"12","Thamnolia subuliformis"
"13","Oxytropis nigrescens"
"14","Astralagus umbelletus"
"15","Arctagrostis latifolia"
"16","Pedicularis vertisilata"
"17","Saussurea angustifolia"
"18","Cetraria islandica"
"19","Papaver radicatum"
"20","Polygonum viviparum"
"21","Festuca baffinensis"
"22","Parrya nudicalis"
"23","Pedicularis sudetica"
"24","Pedicularis capitata"
"25","Dactylina arctica"
"26","Alopecurus alpinus"
"27","Polygonum bistorta"
"28","Cardamine digitalis"
"29","Alectoria ochroleuca"
"30","Cladina mitis"
"31","Hierochloe alpine"
"32","Luzula arctica"
"33","Cetraria nivalis"
"34","Cardamine bellidifolia"
"35","Lagostis glauca"
"36","Salix pulchra"
"37","Pyrola grandiflora"
"38","Eriophorum vaginatum"
